rank,lat,lon
Blyvoor Mine Taxi Rank,-26.39491,27.37559
Carltonville Taxi Rank,-26.35272,27.3973
Deelkraal Mine,-26.46418,27.30307
Ext.1 Taxi Rank Tswana Section,-26.32025,27.32493
Fochville Taxi Rank,-26.49462,27.46945
GFTS Taxi Rank,-26.49406,27.4951
Khutsong Ext.3 Taxi Rank,-26.33087,27.3117
Khutsong Ext.4 Taxi Rank,-26.32784,27.32023
Khutsong Tank Taxi Rank,-26.42173,27.34927
Maxhoseng Taxi Rank,-26.3511,27.3256
Mponeng Taxi Rank,-26.44584,27.42516
SKOPAS Taxi Rank,-26.46336,27.3899
Wedela Taxi Rank - WR103,-26.4607,27.38728
West Drie No 2 & 5 Taxi Rank,-26.39802,27.43227
West Drie No 4 Taxi Rank,-26.37026,27.46549
Western Deep Levels Mine - Tau Tona Mine Taxi Rank,-26.4162,27.4245
Western Deep Levels Savuka Mine Taxi Rank,-26.42346,27.4055
Kagiso Taxi Rank,-26.15863,27.78327
Krugersdorp Main Rank,-26.09674,27.77043
KRUGERSDORP STATION,-26.10848,27.77119
Luipaardsvlei Station Rank,-26.11931,27.8129
Magalies Taxi Rank,-26.10577,27.76906
Mohlakeng Ext 4,-26.17142,27.80776
President Hyper Shopping Centre - Krugersdorp Taxi Rank,-26.09863,27.7764
Swanneville A,-26.19474,27.76714
Swanneville A,-26.1936,27.76762
Bekkersdal Main Taxi Rank (Khomo Ea Hlaba Avenue),-26.28278,27.70326
Brandvlei (Stubbs & 6th Street),-26.18011,27.70129
Brandvlei (Ventersdorp Road),-26.13335,27.5924
Drakensberg Road (Finsbury Shopping Centre),-26.20925,27.65692
Drakensberg Road (Groot Elandsvlei),-26.20927,27.65688
Four Square Taxi Rank (Ralerata/Nhlapo),-26.22906,27.69766
Greenhills Medical Centre Taxi Rank (Greenhills / Kenneth),-26.16033,27.6933
Hillside (Engen Garage) Taxi Rank,-26.23585,27.61047
Mohlakeng 1st Stop (Ralerata / Makgetha Complex),-26.21739,27.6961
Mohlakeng Ext 4 (Moiloa / Kent Masire),-26.23608,27.69391
Mohlakeng Ext 4 (Ralerata / Post office),-26.22041,27.69536
Mohlakeng Ext 4 (Ralerata / Segaetsho),-26.23897,27.69827
Mohlakeng Mokoko (Ralerata / Thebenare),-26.22491,27.6964
Randfontein Station (Railway Street) Main Taxi Rank,-26.18061,27.69888
Toekomsrus Taxi Rank (Diamant Street / Aries Street),-26.20395,27.71432
Toekomsrus Taxi Rank (Shoprite Liquorshop / Diamant / Diamond Street),-26.20289,27.70522
Village Square Shopping Centre Taxi Rank (7th Street),-26.17788,27.70331
Village Square Shopping Centre Taxi Rank (8th Street),-26.17691,27.70294
Village Street Taxi Rank,-26.18345,27.70266
West Rand District Municipality Taxi Rank,-26.18078,27.70122
